ID,Score,Classe
1,13,D
2,92,A
3,93,B
4,50,D
5,68,A
6,81,B
7,80,C
8,30,C
9,63,C
10,82,B
11,14,A
12,70,A
13,30,B
14,28,A
15,59,D
16,6,B
17,65,C
18,30,A
19,99,D
20,24,C
21,65,D
22,16,B
23,15,D
24,82,B
25,74,A
26,6,B
27,59,A
28,80,B
29,34,D
30,55,A
31,93,A
32,18,A
33,52,C
34,85,D
35,28,A
36,99,D
37,19,C
38,7,B
39,11,C
40,72,B
41,14,D
42,9,C
43,34,B
44,6,D
45,2,A
46,0,A
47,58,A
48,56,D
49,21,D
50,75,B
51,98,C
52,86,D
53,87,C
54,56,D
55,90,B
56,76,D
57,57,C
58,31,B
59,90,D
60,25,D
61,6,A
62,55,C
63,42,A
64,71,A
65,11,D
66,42,D
67,59,B
68,1,B
69,1,C
70,52,B
71,3,D
72,49,B
73,7,C
74,75,D
75,59,B
76,20,C
77,4,D
78,66,C
79,70,D
80,74,B
81,66,C
82,98,D
83,5,A
84,32,D
85,76,C
86,45,B
87,32,B
88,52,D
89,87,B
90,56,D
91,31,C
92,11,A
93,38,B
94,92,B
95,9,C
96,84,C
97,21,B
98,7,B
99,3,D
100,55,C
